Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Ambos;2000;Arma de fogo;1250;12.17;12
RS;Rio Grande do Sul;Ambos;2000;Arma branca ou objeto contundente;285;2.78;2.87
RS;Rio Grande do Sul;Ambos;2000;Estrangulamento;33;0.32;0.33
RS;Rio Grande do Sul;Ambos;2000;Força corporal;10;0.1;0.1
RS;Rio Grande do Sul;Ambos;2000;Demais meios especificados;20;0.19;0.2
RS;Rio Grande do Sul;Ambos;2000;Meios não especificados;66;0.64;0.67
RS;Rio Grande do Sul;Ambos;2001;Arma de fogo;1343;12.97;12.79
RS;Rio Grande do Sul;Ambos;2001;Arma branca ou objeto contundente;370;3.57;3.7
RS;Rio Grande do Sul;Ambos;2001;Estrangulamento;38;0.37;0.4
RS;Rio Grande do Sul;Ambos;2001;Força corporal;16;0.15;0.16
RS;Rio Grande do Sul;Ambos;2001;Demais meios especificados;22;0.21;0.22
RS;Rio Grande do Sul;Ambos;2001;Meios não especificados;64;0.62;0.67
RS;Rio Grande do Sul;Ambos;2002;Arma de fogo;1373;13.16;12.91
RS;Rio Grande do Sul;Ambos;2002;Arma branca ou objeto contundente;411;3.94;4.01
RS;Rio Grande do Sul;Ambos;2002;Estrangulamento;39;0.37;0.4
RS;Rio Grande do Sul;Ambos;2002;Força corporal;12;0.12;0.12
RS;Rio Grande do Sul;Ambos;2002;Demais meios especificados;34;0.33;0.31
RS;Rio Grande do Sul;Ambos;2002;Meios não especificados;43;0.41;0.43
RS;Rio Grande do Sul;Ambos;2003;Arma de fogo;1365;12.99;12.73
RS;Rio Grande do Sul;Ambos;2003;Arma branca ou objeto contundente;387;3.68;3.81
RS;Rio Grande do Sul;Ambos;2003;Estrangulamento;34;0.32;0.33
RS;Rio Grande do Sul;Ambos;2003;Força corporal;23;0.22;0.23
RS;Rio Grande do Sul;Ambos;2003;Demais meios especificados;21;0.2;0.2
RS;Rio Grande do Sul;Ambos;2003;Meios não especificados;76;0.72;0.77
RS;Rio Grande do Sul;Ambos;2004;Arma de fogo;1432;13.54;13.15
RS;Rio Grande do Sul;Ambos;2004;Arma branca ou objeto contundente;432;4.09;4.13
RS;Rio Grande do Sul;Ambos;2004;Estrangulamento;28;0.26;0.26
RS;Rio Grande do Sul;Ambos;2004;Força corporal;8;0.08;0.08
RS;Rio Grande do Sul;Ambos;2004;Demais meios especificados;29;0.27;0.27
RS;Rio Grande do Sul;Ambos;2004;Meios não especificados;51;0.48;0.51
RS;Rio Grande do Sul;Ambos;2005;Arma de fogo;1473;13.85;13.54
RS;Rio Grande do Sul;Ambos;2005;Arma branca ou objeto contundente;433;4.07;4.16
RS;Rio Grande do Sul;Ambos;2005;Estrangulamento;36;0.34;0.34
RS;Rio Grande do Sul;Ambos;2005;Força corporal;12;0.11;0.11
RS;Rio Grande do Sul;Ambos;2005;Demais meios especificados;13;0.12;0.11
RS;Rio Grande do Sul;Ambos;2005;Meios não especificados;54;0.51;0.54
RS;Rio Grande do Sul;Ambos;2006;Arma de fogo;1425;13.32;13
RS;Rio Grande do Sul;Ambos;2006;Arma branca ou objeto contundente;415;3.88;3.93
RS;Rio Grande do Sul;Ambos;2006;Estrangulamento;31;0.29;0.29
RS;Rio Grande do Sul;Ambos;2006;Força corporal;11;0.1;0.1
RS;Rio Grande do Sul;Ambos;2006;Demais meios especificados;22;0.21;0.22
RS;Rio Grande do Sul;Ambos;2006;Meios não especificados;67;0.63;0.63
RS;Rio Grande do Sul;Ambos;2007;Arma de fogo;1661;15.45;14.94
RS;Rio Grande do Sul;Ambos;2007;Arma branca ou objeto contundente;385;3.58;3.59
RS;Rio Grande do Sul;Ambos;2007;Estrangulamento;30;0.28;0.28
RS;Rio Grande do Sul;Ambos;2007;Força corporal;15;0.14;0.15
RS;Rio Grande do Sul;Ambos;2007;Demais meios especificados;20;0.19;0.18
RS;Rio Grande do Sul;Ambos;2007;Meios não especificados;70;0.65;0.66
RS;Rio Grande do Sul;Ambos;2008;Arma de fogo;1801;16.68;16.12
RS;Rio Grande do Sul;Ambos;2008;Arma branca ou objeto contundente;399;3.69;3.7
RS;Rio Grande do Sul;Ambos;2008;Estrangulamento;48;0.44;0.41
RS;Rio Grande do Sul;Ambos;2008;Força corporal;20;0.19;0.2
RS;Rio Grande do Sul;Ambos;2008;Demais meios especificados;25;0.23;0.2
RS;Rio Grande do Sul;Ambos;2008;Meios não especificados;79;0.73;0.72
RS;Rio Grande do Sul;Ambos;2009;Arma de fogo;1645;15.17;14.76
RS;Rio Grande do Sul;Ambos;2009;Arma branca ou objeto contundente;412;3.8;3.76
RS;Rio Grande do Sul;Ambos;2009;Estrangulamento;39;0.36;0.35
RS;Rio Grande do Sul;Ambos;2009;Força corporal;22;0.2;0.2
RS;Rio Grande do Sul;Ambos;2009;Demais meios especificados;29;0.27;0.27
RS;Rio Grande do Sul;Ambos;2009;Meios não especificados;85;0.78;0.77
RS;Rio Grande do Sul;Ambos;2010;Arma de fogo;1496;13.75;13.38
RS;Rio Grande do Sul;Ambos;2010;Arma branca ou objeto contundente;396;3.64;3.61
RS;Rio Grande do Sul;Ambos;2010;Estrangulamento;50;0.46;0.44
RS;Rio Grande do Sul;Ambos;2010;Força corporal;15;0.14;0.14
RS;Rio Grande do Sul;Ambos;2010;Demais meios especificados;32;0.29;0.3
RS;Rio Grande do Sul;Ambos;2010;Meios não especificados;78;0.72;0.72
RS;Rio Grande do Sul;Ambos;2011;Arma de fogo;1531;14.04;13.69
RS;Rio Grande do Sul;Ambos;2011;Arma branca ou objeto contundente;389;3.57;3.52
RS;Rio Grande do Sul;Ambos;2011;Estrangulamento;31;0.28;0.27
RS;Rio Grande do Sul;Ambos;2011;Força corporal;25;0.23;0.23
RS;Rio Grande do Sul;Ambos;2011;Demais meios especificados;20;0.18;0.18
RS;Rio Grande do Sul;Ambos;2011;Meios não especificados;62;0.57;0.55
RS;Rio Grande do Sul;Ambos;2012;Arma de fogo;1737;15.87;15.66
RS;Rio Grande do Sul;Ambos;2012;Arma branca ou objeto contundente;442;4.04;4.01
RS;Rio Grande do Sul;Ambos;2012;Estrangulamento;47;0.43;0.43
RS;Rio Grande do Sul;Ambos;2012;Força corporal;21;0.19;0.19
RS;Rio Grande do Sul;Ambos;2012;Demais meios especificados;44;0.4;0.38
RS;Rio Grande do Sul;Ambos;2012;Meios não especificados;73;0.67;0.65
RS;Rio Grande do Sul;Ambos;2013;Arma de fogo;1714;15.6;15.4
RS;Rio Grande do Sul;Ambos;2013;Arma branca ou objeto contundente;448;4.08;4.05
RS;Rio Grande do Sul;Ambos;2013;Estrangulamento;46;0.42;0.41
RS;Rio Grande do Sul;Ambos;2013;Força corporal;16;0.15;0.15
RS;Rio Grande do Sul;Ambos;2013;Demais meios especificados;32;0.29;0.25
RS;Rio Grande do Sul;Ambos;2013;Meios não especificados;58;0.53;0.52
RS;Rio Grande do Sul;Ambos;2014;Arma de fogo;2055;18.64;18.62
RS;Rio Grande do Sul;Ambos;2014;Arma branca ou objeto contundente;476;4.32;4.29
RS;Rio Grande do Sul;Ambos;2014;Estrangulamento;55;0.5;0.48
RS;Rio Grande do Sul;Ambos;2014;Força corporal;17;0.15;0.16
RS;Rio Grande do Sul;Ambos;2014;Demais meios especificados;34;0.31;0.3
RS;Rio Grande do Sul;Ambos;2014;Meios não especificados;73;0.66;0.66
RS;Rio Grande do Sul;Ambos;2015;Arma de fogo;2282;20.61;20.54
RS;Rio Grande do Sul;Ambos;2015;Arma branca ou objeto contundente;487;4.4;4.37
RS;Rio Grande do Sul;Ambos;2015;Estrangulamento;46;0.42;0.41
RS;Rio Grande do Sul;Ambos;2015;Força corporal;15;0.14;0.13
RS;Rio Grande do Sul;Ambos;2015;Demais meios especificados;37;0.33;0.32
RS;Rio Grande do Sul;Ambos;2015;Meios não especificados;53;0.48;0.45
RS;Rio Grande do Sul;Ambos;2016;Arma de fogo;2507;22.57;22.7
RS;Rio Grande do Sul;Ambos;2016;Arma branca ou objeto contundente;499;4.49;4.49
RS;Rio Grande do Sul;Ambos;2016;Estrangulamento;51;0.46;0.44
RS;Rio Grande do Sul;Ambos;2016;Força corporal;11;0.1;0.09
RS;Rio Grande do Sul;Ambos;2016;Demais meios especificados;44;0.4;0.37
RS;Rio Grande do Sul;Ambos;2016;Meios não especificados;76;0.68;0.65
RS;Rio Grande do Sul;Ambos;2017;Arma de fogo;2591;23.26;23.52
RS;Rio Grande do Sul;Ambos;2017;Arma branca ou objeto contundente;510;4.58;4.49
RS;Rio Grande do Sul;Ambos;2017;Estrangulamento;50;0.45;0.44
RS;Rio Grande do Sul;Ambos;2017;Força corporal;22;0.2;0.2
RS;Rio Grande do Sul;Ambos;2017;Demais meios especificados;56;0.5;0.47
RS;Rio Grande do Sul;Ambos;2017;Meios não especificados;51;0.46;0.44
RS;Rio Grande do Sul;Ambos;2018;Arma de fogo;2075;18.58;18.89
RS;Rio Grande do Sul;Ambos;2018;Arma branca ou objeto contundente;443;3.97;3.9
RS;Rio Grande do Sul;Ambos;2018;Estrangulamento;51;0.46;0.45
RS;Rio Grande do Sul;Ambos;2018;Força corporal;21;0.19;0.19
RS;Rio Grande do Sul;Ambos;2018;Demais meios especificados;38;0.34;0.31
RS;Rio Grande do Sul;Ambos;2018;Meios não especificados;39;0.35;0.31
RS;Rio Grande do Sul;Ambos;2019;Arma de fogo;1602;14.31;14.62
RS;Rio Grande do Sul;Ambos;2019;Arma branca ou objeto contundente;419;3.74;3.72
RS;Rio Grande do Sul;Ambos;2019;Estrangulamento;49;0.44;0.43
RS;Rio Grande do Sul;Ambos;2019;Força corporal;18;0.16;0.17
RS;Rio Grande do Sul;Ambos;2019;Demais meios especificados;40;0.36;0.35
RS;Rio Grande do Sul;Ambos;2019;Meios não especificados;38;0.34;0.32
RS;Rio Grande do Sul;Ambos;2020;Arma de fogo;1545;13.77;14.14
RS;Rio Grande do Sul;Ambos;2020;Arma branca ou objeto contundente;390;3.48;3.47
RS;Rio Grande do Sul;Ambos;2020;Estrangulamento;53;0.47;0.48
RS;Rio Grande do Sul;Ambos;2020;Força corporal;23;0.2;0.21
RS;Rio Grande do Sul;Ambos;2020;Demais meios especificados;35;0.31;0.3
RS;Rio Grande do Sul;Ambos;2020;Meios não especificados;42;0.37;0.37
RS;Rio Grande do Sul;Ambos;2021;Arma de fogo;1379;12.28;12.72
RS;Rio Grande do Sul;Ambos;2021;Arma branca ou objeto contundente;327;2.91;2.89
RS;Rio Grande do Sul;Ambos;2021;Estrangulamento;47;0.42;0.42
RS;Rio Grande do Sul;Ambos;2021;Força corporal;40;0.36;0.34
RS;Rio Grande do Sul;Ambos;2021;Demais meios especificados;41;0.37;0.36
RS;Rio Grande do Sul;Ambos;2021;Meios não especificados;40;0.36;0.35
RS;Rio Grande do Sul;Ambos;2022;Arma de fogo;1475;13.15;13.71
RS;Rio Grande do Sul;Ambos;2022;Arma branca ou objeto contundente;324;2.89;2.91
RS;Rio Grande do Sul;Ambos;2022;Estrangulamento;51;0.45;0.46
RS;Rio Grande do Sul;Ambos;2022;Força corporal;33;0.29;0.29
RS;Rio Grande do Sul;Ambos;2022;Demais meios especificados;39;0.35;0.31
RS;Rio Grande do Sul;Ambos;2022;Meios não especificados;40;0.36;0.33
RS;Rio Grande do Sul;Ambos;2023;Arma de fogo;1410;12.56;13.23
RS;Rio Grande do Sul;Ambos;2023;Arma branca ou objeto contundente;392;3.49;3.51
RS;Rio Grande do Sul;Ambos;2023;Estrangulamento;33;0.29;0.29
RS;Rio Grande do Sul;Ambos;2023;Força corporal;50;0.45;0.43
RS;Rio Grande do Sul;Ambos;2023;Demais meios especificados;40;0.36;0.35
RS;Rio Grande do Sul;Ambos;2023;Meios não especificados;51;0.45;0.45
RS;Rio Grande do Sul;Ambos;2024;Arma de fogo;1221;10.87;11.53
RS;Rio Grande do Sul;Ambos;2024;Arma branca ou objeto contundente;318;2.83;2.81
RS;Rio Grande do Sul;Ambos;2024;Estrangulamento;28;0.25;0.26
RS;Rio Grande do Sul;Ambos;2024;Força corporal;46;0.41;0.39
RS;Rio Grande do Sul;Ambos;2024;Demais meios especificados;53;0.47;0.46
RS;Rio Grande do Sul;Ambos;2024;Meios não especificados;34;0.3;0.3
RS;Rio Grande do Sul;Ambos;2025;Arma de fogo;807;7.18;7.67
RS;Rio Grande do Sul;Ambos;2025;Arma branca ou objeto contundente;280;2.49;2.48
RS;Rio Grande do Sul;Ambos;2025;Estrangulamento;35;0.31;0.31
RS;Rio Grande do Sul;Ambos;2025;Força corporal;33;0.29;0.28
RS;Rio Grande do Sul;Ambos;2025;Demais meios especificados;33;0.29;0.27
RS;Rio Grande do Sul;Ambos;2025;Meios não especificados;25;0.22;0.22
RS;Rio Grande do Sul;Homens;2000;Arma de fogo;1159;23.11;22.62
RS;Rio Grande do Sul;Homens;2000;Arma branca ou objeto contundente;234;4.67;4.83
RS;Rio Grande do Sul;Homens;2000;Estrangulamento;20;0.4;0.42
RS;Rio Grande do Sul;Homens;2000;Força corporal;6;0.12;0.12
RS;Rio Grande do Sul;Homens;2000;Demais meios especificados;14;0.28;0.29
RS;Rio Grande do Sul;Homens;2000;Meios não especificados;55;1.1;1.15
RS;Rio Grande do Sul;Homens;2001;Arma de fogo;1241;24.56;24.1
RS;Rio Grande do Sul;Homens;2001;Arma branca ou objeto contundente;324;6.41;6.67
RS;Rio Grande do Sul;Homens;2001;Estrangulamento;23;0.46;0.5
RS;Rio Grande do Sul;Homens;2001;Força corporal;15;0.3;0.31
RS;Rio Grande do Sul;Homens;2001;Demais meios especificados;18;0.36;0.36
RS;Rio Grande do Sul;Homens;2001;Meios não especificados;52;1.03;1.19
RS;Rio Grande do Sul;Homens;2002;Arma de fogo;1266;24.87;24.3
RS;Rio Grande do Sul;Homens;2002;Arma branca ou objeto contundente;359;7.05;7.15
RS;Rio Grande do Sul;Homens;2002;Estrangulamento;21;0.41;0.48
RS;Rio Grande do Sul;Homens;2002;Força corporal;11;0.22;0.22
RS;Rio Grande do Sul;Homens;2002;Demais meios especificados;23;0.45;0.43
RS;Rio Grande do Sul;Homens;2002;Meios não especificados;34;0.67;0.68
RS;Rio Grande do Sul;Homens;2003;Arma de fogo;1270;24.79;24.14
RS;Rio Grande do Sul;Homens;2003;Arma branca ou objeto contundente;342;6.67;6.93
RS;Rio Grande do Sul;Homens;2003;Estrangulamento;21;0.41;0.43
RS;Rio Grande do Sul;Homens;2003;Força corporal;18;0.35;0.38
RS;Rio Grande do Sul;Homens;2003;Demais meios especificados;17;0.33;0.33
RS;Rio Grande do Sul;Homens;2003;Meios não especificados;61;1.19;1.33
RS;Rio Grande do Sul;Homens;2004;Arma de fogo;1326;25.72;24.8
RS;Rio Grande do Sul;Homens;2004;Arma branca ou objeto contundente;371;7.2;7.32
RS;Rio Grande do Sul;Homens;2004;Estrangulamento;17;0.33;0.33
RS;Rio Grande do Sul;Homens;2004;Força corporal;7;0.14;0.14
RS;Rio Grande do Sul;Homens;2004;Demais meios especificados;19;0.37;0.36
RS;Rio Grande do Sul;Homens;2004;Meios não especificados;45;0.87;0.97
RS;Rio Grande do Sul;Homens;2005;Arma de fogo;1359;26.21;25.41
RS;Rio Grande do Sul;Homens;2005;Arma branca ou objeto contundente;365;7.04;7.28
RS;Rio Grande do Sul;Homens;2005;Estrangulamento;20;0.39;0.39
RS;Rio Grande do Sul;Homens;2005;Força corporal;12;0.23;0.24
RS;Rio Grande do Sul;Homens;2005;Demais meios especificados;8;0.15;0.14
RS;Rio Grande do Sul;Homens;2005;Meios não especificados;48;0.93;1
RS;Rio Grande do Sul;Homens;2006;Arma de fogo;1342;25.74;24.92
RS;Rio Grande do Sul;Homens;2006;Arma branca ou objeto contundente;367;7.04;7.15
RS;Rio Grande do Sul;Homens;2006;Estrangulamento;15;0.29;0.28
RS;Rio Grande do Sul;Homens;2006;Força corporal;10;0.19;0.19
RS;Rio Grande do Sul;Homens;2006;Demais meios especificados;16;0.31;0.32
RS;Rio Grande do Sul;Homens;2006;Meios não especificados;59;1.13;1.16
RS;Rio Grande do Sul;Homens;2007;Arma de fogo;1559;29.77;28.48
RS;Rio Grande do Sul;Homens;2007;Arma branca ou objeto contundente;323;6.17;6.19
RS;Rio Grande do Sul;Homens;2007;Estrangulamento;16;0.31;0.29
RS;Rio Grande do Sul;Homens;2007;Força corporal;15;0.29;0.31
RS;Rio Grande do Sul;Homens;2007;Demais meios especificados;12;0.23;0.23
RS;Rio Grande do Sul;Homens;2007;Meios não especificados;60;1.15;1.19
RS;Rio Grande do Sul;Homens;2008;Arma de fogo;1683;32;30.53
RS;Rio Grande do Sul;Homens;2008;Arma branca ou objeto contundente;340;6.47;6.47
RS;Rio Grande do Sul;Homens;2008;Estrangulamento;29;0.55;0.5
RS;Rio Grande do Sul;Homens;2008;Força corporal;16;0.3;0.33
RS;Rio Grande do Sul;Homens;2008;Demais meios especificados;17;0.32;0.28
RS;Rio Grande do Sul;Homens;2008;Meios não especificados;68;1.29;1.27
RS;Rio Grande do Sul;Homens;2009;Arma de fogo;1519;28.77;27.75
RS;Rio Grande do Sul;Homens;2009;Arma branca ou objeto contundente;345;6.53;6.44
RS;Rio Grande do Sul;Homens;2009;Estrangulamento;27;0.51;0.51
RS;Rio Grande do Sul;Homens;2009;Força corporal;20;0.38;0.37
RS;Rio Grande do Sul;Homens;2009;Demais meios especificados;24;0.45;0.45
RS;Rio Grande do Sul;Homens;2009;Meios não especificados;72;1.36;1.36
RS;Rio Grande do Sul;Homens;2010;Arma de fogo;1376;25.99;25.05
RS;Rio Grande do Sul;Homens;2010;Arma branca ou objeto contundente;329;6.21;6.18
RS;Rio Grande do Sul;Homens;2010;Estrangulamento;28;0.53;0.49
RS;Rio Grande do Sul;Homens;2010;Força corporal;12;0.23;0.23
RS;Rio Grande do Sul;Homens;2010;Demais meios especificados;23;0.43;0.48
RS;Rio Grande do Sul;Homens;2010;Meios não especificados;70;1.32;1.36
RS;Rio Grande do Sul;Homens;2011;Arma de fogo;1413;26.63;25.67
RS;Rio Grande do Sul;Homens;2011;Arma branca ou objeto contundente;333;6.28;6.22
RS;Rio Grande do Sul;Homens;2011;Estrangulamento;16;0.3;0.31
RS;Rio Grande do Sul;Homens;2011;Força corporal;21;0.4;0.4
RS;Rio Grande do Sul;Homens;2011;Demais meios especificados;14;0.26;0.26
RS;Rio Grande do Sul;Homens;2011;Meios não especificados;53;1;1.02
RS;Rio Grande do Sul;Homens;2012;Arma de fogo;1602;30.1;29.3
RS;Rio Grande do Sul;Homens;2012;Arma branca ou objeto contundente;368;6.91;6.84
RS;Rio Grande do Sul;Homens;2012;Estrangulamento;32;0.6;0.6
RS;Rio Grande do Sul;Homens;2012;Força corporal;21;0.39;0.41
RS;Rio Grande do Sul;Homens;2012;Demais meios especificados;32;0.6;0.54
RS;Rio Grande do Sul;Homens;2012;Meios não especificados;62;1.16;1.13
RS;Rio Grande do Sul;Homens;2013;Arma de fogo;1602;29.99;29.16
RS;Rio Grande do Sul;Homens;2013;Arma branca ou objeto contundente;387;7.25;7.22
RS;Rio Grande do Sul;Homens;2013;Estrangulamento;26;0.49;0.47
RS;Rio Grande do Sul;Homens;2013;Força corporal;14;0.26;0.27
RS;Rio Grande do Sul;Homens;2013;Demais meios especificados;21;0.39;0.41
RS;Rio Grande do Sul;Homens;2013;Meios não especificados;50;0.94;0.93
RS;Rio Grande do Sul;Homens;2014;Arma de fogo;1926;35.92;35.34
RS;Rio Grande do Sul;Homens;2014;Arma branca ou objeto contundente;400;7.46;7.41
RS;Rio Grande do Sul;Homens;2014;Estrangulamento;32;0.6;0.58
RS;Rio Grande do Sul;Homens;2014;Força corporal;16;0.3;0.31
RS;Rio Grande do Sul;Homens;2014;Demais meios especificados;26;0.48;0.46
RS;Rio Grande do Sul;Homens;2014;Meios não especificados;60;1.12;1.11
RS;Rio Grande do Sul;Homens;2015;Arma de fogo;2124;39.46;38.67
RS;Rio Grande do Sul;Homens;2015;Arma branca ou objeto contundente;406;7.54;7.48
RS;Rio Grande do Sul;Homens;2015;Estrangulamento;26;0.48;0.47
RS;Rio Grande do Sul;Homens;2015;Força corporal;12;0.22;0.21
RS;Rio Grande do Sul;Homens;2015;Demais meios especificados;25;0.46;0.44
RS;Rio Grande do Sul;Homens;2015;Meios não especificados;44;0.82;0.77
RS;Rio Grande do Sul;Homens;2016;Arma de fogo;2314;42.85;42.38
RS;Rio Grande do Sul;Homens;2016;Arma branca ou objeto contundente;423;7.83;7.82
RS;Rio Grande do Sul;Homens;2016;Estrangulamento;33;0.61;0.58
RS;Rio Grande do Sul;Homens;2016;Força corporal;9;0.17;0.16
RS;Rio Grande do Sul;Homens;2016;Demais meios especificados;32;0.59;0.55
RS;Rio Grande do Sul;Homens;2016;Meios não especificados;65;1.2;1.15
RS;Rio Grande do Sul;Homens;2017;Arma de fogo;2403;44.38;43.98
RS;Rio Grande do Sul;Homens;2017;Arma branca ou objeto contundente;438;8.09;7.89
RS;Rio Grande do Sul;Homens;2017;Estrangulamento;35;0.65;0.63
RS;Rio Grande do Sul;Homens;2017;Força corporal;20;0.37;0.38
RS;Rio Grande do Sul;Homens;2017;Demais meios especificados;41;0.76;0.71
RS;Rio Grande do Sul;Homens;2017;Meios não especificados;41;0.76;0.72
RS;Rio Grande do Sul;Homens;2018;Arma de fogo;1927;35.51;35.41
RS;Rio Grande do Sul;Homens;2018;Arma branca ou objeto contundente;373;6.87;6.75
RS;Rio Grande do Sul;Homens;2018;Estrangulamento;32;0.59;0.59
RS;Rio Grande do Sul;Homens;2018;Força corporal;16;0.29;0.3
RS;Rio Grande do Sul;Homens;2018;Demais meios especificados;27;0.5;0.44
RS;Rio Grande do Sul;Homens;2018;Meios não especificados;34;0.63;0.59
RS;Rio Grande do Sul;Homens;2019;Arma de fogo;1468;26.99;27.02
RS;Rio Grande do Sul;Homens;2019;Arma branca ou objeto contundente;353;6.49;6.45
RS;Rio Grande do Sul;Homens;2019;Estrangulamento;29;0.53;0.54
RS;Rio Grande do Sul;Homens;2019;Força corporal;14;0.26;0.27
RS;Rio Grande do Sul;Homens;2019;Demais meios especificados;30;0.55;0.55
RS;Rio Grande do Sul;Homens;2019;Meios não especificados;34;0.63;0.6
RS;Rio Grande do Sul;Homens;2020;Arma de fogo;1420;26.05;26.27
RS;Rio Grande do Sul;Homens;2020;Arma branca ou objeto contundente;342;6.27;6.23
RS;Rio Grande do Sul;Homens;2020;Estrangulamento;31;0.57;0.58
RS;Rio Grande do Sul;Homens;2020;Força corporal;20;0.37;0.37
RS;Rio Grande do Sul;Homens;2020;Demais meios especificados;22;0.4;0.4
RS;Rio Grande do Sul;Homens;2020;Meios não especificados;35;0.64;0.64
RS;Rio Grande do Sul;Homens;2021;Arma de fogo;1260;23.1;23.45
RS;Rio Grande do Sul;Homens;2021;Arma branca ou objeto contundente;271;4.97;4.98
RS;Rio Grande do Sul;Homens;2021;Estrangulamento;22;0.4;0.39
RS;Rio Grande do Sul;Homens;2021;Força corporal;28;0.51;0.5
RS;Rio Grande do Sul;Homens;2021;Demais meios especificados;23;0.42;0.4
RS;Rio Grande do Sul;Homens;2021;Meios não especificados;37;0.68;0.67
RS;Rio Grande do Sul;Homens;2022;Arma de fogo;1325;24.32;24.76
RS;Rio Grande do Sul;Homens;2022;Arma branca ou objeto contundente;264;4.85;4.8
RS;Rio Grande do Sul;Homens;2022;Estrangulamento;35;0.64;0.63
RS;Rio Grande do Sul;Homens;2022;Força corporal;29;0.53;0.53
RS;Rio Grande do Sul;Homens;2022;Demais meios especificados;28;0.51;0.45
RS;Rio Grande do Sul;Homens;2022;Meios não especificados;31;0.57;0.53
RS;Rio Grande do Sul;Homens;2023;Arma de fogo;1302;23.9;24.6
RS;Rio Grande do Sul;Homens;2023;Arma branca ou objeto contundente;320;5.87;5.85
RS;Rio Grande do Sul;Homens;2023;Estrangulamento;18;0.33;0.31
RS;Rio Grande do Sul;Homens;2023;Força corporal;42;0.77;0.76
RS;Rio Grande do Sul;Homens;2023;Demais meios especificados;30;0.55;0.51
RS;Rio Grande do Sul;Homens;2023;Meios não especificados;40;0.73;0.73
RS;Rio Grande do Sul;Homens;2024;Arma de fogo;1111;20.38;21.08
RS;Rio Grande do Sul;Homens;2024;Arma branca ou objeto contundente;265;4.86;4.83
RS;Rio Grande do Sul;Homens;2024;Estrangulamento;14;0.26;0.26
RS;Rio Grande do Sul;Homens;2024;Força corporal;41;0.75;0.73
RS;Rio Grande do Sul;Homens;2024;Demais meios especificados;37;0.68;0.66
RS;Rio Grande do Sul;Homens;2024;Meios não especificados;28;0.51;0.5
RS;Rio Grande do Sul;Homens;2025;Arma de fogo;737;13.52;14.08
RS;Rio Grande do Sul;Homens;2025;Arma branca ou objeto contundente;230;4.22;4.16
RS;Rio Grande do Sul;Homens;2025;Estrangulamento;25;0.46;0.46
RS;Rio Grande do Sul;Homens;2025;Força corporal;26;0.48;0.47
RS;Rio Grande do Sul;Homens;2025;Demais meios especificados;23;0.42;0.4
RS;Rio Grande do Sul;Homens;2025;Meios não especificados;23;0.42;0.42
RS;Rio Grande do Sul;Mulheres;2000;Arma de fogo;91;1.73;1.74
RS;Rio Grande do Sul;Mulheres;2000;Arma branca ou objeto contundente;50;0.95;0.98
RS;Rio Grande do Sul;Mulheres;2000;Estrangulamento;12;0.23;0.24
RS;Rio Grande do Sul;Mulheres;2000;Força corporal;4;0.08;0.08
RS;Rio Grande do Sul;Mulheres;2000;Demais meios especificados;6;0.11;0.11
RS;Rio Grande do Sul;Mulheres;2000;Meios não especificados;11;0.21;0.22
RS;Rio Grande do Sul;Mulheres;2001;Arma de fogo;102;1.92;1.91
RS;Rio Grande do Sul;Mulheres;2001;Arma branca ou objeto contundente;46;0.87;0.89
RS;Rio Grande do Sul;Mulheres;2001;Estrangulamento;15;0.28;0.3
RS;Rio Grande do Sul;Mulheres;2001;Força corporal;1;0.02;0.02
RS;Rio Grande do Sul;Mulheres;2001;Demais meios especificados;4;0.08;0.07
RS;Rio Grande do Sul;Mulheres;2001;Meios não especificados;12;0.23;0.23
RS;Rio Grande do Sul;Mulheres;2002;Arma de fogo;107;2;1.97
RS;Rio Grande do Sul;Mulheres;2002;Arma branca ou objeto contundente;52;0.97;1.03
RS;Rio Grande do Sul;Mulheres;2002;Estrangulamento;18;0.34;0.35
RS;Rio Grande do Sul;Mulheres;2002;Força corporal;1;0.02;0.02
RS;Rio Grande do Sul;Mulheres;2002;Demais meios especificados;11;0.21;0.19
RS;Rio Grande do Sul;Mulheres;2002;Meios não especificados;9;0.17;0.19
RS;Rio Grande do Sul;Mulheres;2003;Arma de fogo;95;1.77;1.71
RS;Rio Grande do Sul;Mulheres;2003;Arma branca ou objeto contundente;45;0.84;0.88
RS;Rio Grande do Sul;Mulheres;2003;Estrangulamento;13;0.24;0.23
RS;Rio Grande do Sul;Mulheres;2003;Força corporal;5;0.09;0.1
RS;Rio Grande do Sul;Mulheres;2003;Demais meios especificados;4;0.07;0.07
RS;Rio Grande do Sul;Mulheres;2003;Meios não especificados;15;0.28;0.28
RS;Rio Grande do Sul;Mulheres;2004;Arma de fogo;106;1.96;1.91
RS;Rio Grande do Sul;Mulheres;2004;Arma branca ou objeto contundente;61;1.13;1.13
RS;Rio Grande do Sul;Mulheres;2004;Estrangulamento;11;0.2;0.2
RS;Rio Grande do Sul;Mulheres;2004;Força corporal;1;0.02;0.02
RS;Rio Grande do Sul;Mulheres;2004;Demais meios especificados;10;0.18;0.18
RS;Rio Grande do Sul;Mulheres;2004;Meios não especificados;6;0.11;0.11
RS;Rio Grande do Sul;Mulheres;2005;Arma de fogo;114;2.09;2.08
