Território;Nome do território;Sexo;Ano;Tipo de causa externa;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Ambos;2013;Agressão;2314;21.07;20.78
RS;Rio Grande do Sul;Ambos;2013;Causas acidentais;1787;16.27;16.17
RS;Rio Grande do Sul;Ambos;2013;Lesão autoprovocada;1142;11.08;11.08
RS;Rio Grande do Sul;Ambos;2013;Demais causas externas;423;3.85;3.83
RS;Rio Grande do Sul;Ambos;2014;Lesão de trânsito;2078;18.84;18.74
RS;Rio Grande do Sul;Ambos;2014;Agressão;2710;24.58;24.51
RS;Rio Grande do Sul;Ambos;2014;Causas acidentais;1595;14.46;14.24
RS;Rio Grande do Sul;Ambos;2014;Lesão autoprovocada;1112;10.75;10.71
RS;Rio Grande do Sul;Ambos;2014;Demais causas externas;468;4.24;4.13
RS;Rio Grande do Sul;Ambos;2015;Lesão de trânsito;1821;16.45;16.23
RS;Rio Grande do Sul;Ambos;2015;Agressão;2920;26.38;26.22
RS;Rio Grande do Sul;Ambos;2015;Causas acidentais;1641;14.82;14.33
RS;Rio Grande do Sul;Ambos;2015;Lesão autoprovocada;1141;11;10.86
RS;Rio Grande do Sul;Ambos;2015;Demais causas externas;372;3.36;3.19
RS;Rio Grande do Sul;Ambos;2016;Lesão de trânsito;1810;16.29;16.07
RS;Rio Grande do Sul;Ambos;2016;Agressão;3188;28.7;28.74
RS;Rio Grande do Sul;Ambos;2016;Causas acidentais;1849;16.64;15.91
RS;Rio Grande do Sul;Ambos;2016;Lesão autoprovocada;1168;11.23;10.98
RS;Rio Grande do Sul;Ambos;2016;Demais causas externas;421;3.79;3.67
RS;Rio Grande do Sul;Ambos;2017;Lesão de trânsito;1881;16.88;16.62
RS;Rio Grande do Sul;Ambos;2017;Agressão;3280;29.44;29.56
RS;Rio Grande do Sul;Ambos;2017;Causas acidentais;1865;16.74;15.7
RS;Rio Grande do Sul;Ambos;2017;Lesão autoprovocada;1349;12.93;12.57
RS;Rio Grande do Sul;Ambos;2017;Demais causas externas;268;2.41;2.3
RS;Rio Grande do Sul;Ambos;2018;Lesão de trânsito;1757;15.73;15.37
RS;Rio Grande do Sul;Ambos;2018;Agressão;2667;23.88;24.05
RS;Rio Grande do Sul;Ambos;2018;Causas acidentais;1953;17.49;15.9
RS;Rio Grande do Sul;Ambos;2018;Lesão autoprovocada;1241;11.86;11.4
RS;Rio Grande do Sul;Ambos;2018;Demais causas externas;404;3.62;3.41
RS;Rio Grande do Sul;Ambos;2019;Lesão de trânsito;1664;14.86;14.49
RS;Rio Grande do Sul;Ambos;2019;Agressão;2166;19.35;19.6
RS;Rio Grande do Sul;Ambos;2019;Causas acidentais;2003;17.89;16.06
RS;Rio Grande do Sul;Ambos;2019;Lesão autoprovocada;1425;13.58;13.06
RS;Rio Grande do Sul;Ambos;2019;Demais causas externas;354;3.16;2.92
RS;Rio Grande do Sul;Ambos;2020;Lesão de trânsito;1566;13.96;13.65
RS;Rio Grande do Sul;Ambos;2020;Agressão;2088;18.61;18.97
RS;Rio Grande do Sul;Ambos;2020;Causas acidentais;1810;16.13;14.34
RS;Rio Grande do Sul;Ambos;2020;Lesão autoprovocada;1419;13.47;12.9
RS;Rio Grande do Sul;Ambos;2020;Demais causas externas;327;2.91;2.57
RS;Rio Grande do Sul;Ambos;2021;Lesão de trânsito;1700;15.14;14.86
RS;Rio Grande do Sul;Ambos;2021;Agressão;1874;16.69;17.08
RS;Rio Grande do Sul;Ambos;2021;Causas acidentais;2120;18.88;16.52
RS;Rio Grande do Sul;Ambos;2021;Lesão autoprovocada;1517;14.37;13.71
RS;Rio Grande do Sul;Ambos;2021;Demais causas externas;454;4.04;3.52
RS;Rio Grande do Sul;Ambos;2022;Lesão de trânsito;1783;15.89;15.39
RS;Rio Grande do Sul;Ambos;2022;Agressão;1962;17.49;18.01
RS;Rio Grande do Sul;Ambos;2022;Causas acidentais;2125;18.94;16.04
RS;Rio Grande do Sul;Ambos;2022;Lesão autoprovocada;1571;14.86;14.2
RS;Rio Grande do Sul;Ambos;2022;Demais causas externas;469;4.18;3.73
RS;Rio Grande do Sul;Ambos;2023;Lesão de trânsito;1753;15.62;14.96
RS;Rio Grande do Sul;Ambos;2023;Agressão;1976;17.61;18.25
RS;Rio Grande do Sul;Ambos;2023;Causas acidentais;2293;20.43;17.27
RS;Rio Grande do Sul;Ambos;2023;Lesão autoprovocada;1662;15.69;15.06
RS;Rio Grande do Sul;Ambos;2023;Demais causas externas;344;3.07;2.67
RS;Rio Grande do Sul;Ambos;2024;Lesão de trânsito;1820;16.21;15.48
RS;Rio Grande do Sul;Ambos;2024;Agressão;1700;15.14;15.75
RS;Rio Grande do Sul;Ambos;2024;Causas acidentais;2696;24.01;19.81
RS;Rio Grande do Sul;Ambos;2024;Lesão autoprovocada;1548;14.58;13.94
RS;Rio Grande do Sul;Ambos;2024;Demais causas externas;416;3.7;3.2
RS;Rio Grande do Sul;Ambos;2025;Lesão de trânsito;1737;15.46;14.97
RS;Rio Grande do Sul;Ambos;2025;Agressão;1213;10.8;11.23
RS;Rio Grande do Sul;Ambos;2025;Causas acidentais;2385;21.23;16.95
RS;Rio Grande do Sul;Ambos;2025;Lesão autoprovocada;1426;13.41;12.8
RS;Rio Grande do Sul;Ambos;2025;Demais causas externas;509;4.53;3.97
RS;Rio Grande do Sul;Homens;2000;Lesão de trânsito;1532;30.55;32.82
RS;Rio Grande do Sul;Homens;2000;Agressão;1488;29.67;29.44
RS;Rio Grande do Sul;Homens;2000;Causas acidentais;971;19.36;20.68
RS;Rio Grande do Sul;Homens;2000;Lesão autoprovocada;832;18.16;20.99
RS;Rio Grande do Sul;Homens;2000;Demais causas externas;484;9.65;11.44
RS;Rio Grande do Sul;Homens;2001;Lesão de trânsito;1490;29.49;31.62
RS;Rio Grande do Sul;Homens;2001;Agressão;1673;33.11;33.14
RS;Rio Grande do Sul;Homens;2001;Causas acidentais;1059;20.96;22.51
RS;Rio Grande do Sul;Homens;2001;Lesão autoprovocada;860;18.59;21.17
RS;Rio Grande do Sul;Homens;2001;Demais causas externas;405;8.01;9.69
RS;Rio Grande do Sul;Homens;2002;Lesão de trânsito;1695;33.3;35.72
RS;Rio Grande do Sul;Homens;2002;Agressão;1714;33.68;33.26
RS;Rio Grande do Sul;Homens;2002;Causas acidentais;939;18.45;19.84
RS;Rio Grande do Sul;Homens;2002;Lesão autoprovocada;842;18.04;20.4
RS;Rio Grande do Sul;Homens;2002;Demais causas externas;400;7.86;9.19
RS;Rio Grande do Sul;Homens;2003;Lesão de trânsito;1597;31.17;33.02
RS;Rio Grande do Sul;Homens;2003;Agressão;1729;33.74;33.54
RS;Rio Grande do Sul;Homens;2003;Causas acidentais;930;18.15;19.39
RS;Rio Grande do Sul;Homens;2003;Lesão autoprovocada;843;17.9;19.84
RS;Rio Grande do Sul;Homens;2003;Demais causas externas;454;8.86;10.26
RS;Rio Grande do Sul;Homens;2004;Lesão de trânsito;1737;33.69;35.58
RS;Rio Grande do Sul;Homens;2004;Agressão;1785;34.62;33.92
RS;Rio Grande do Sul;Homens;2004;Causas acidentais;959;18.6;20.22
RS;Rio Grande do Sul;Homens;2004;Lesão autoprovocada;862;18.14;20.16
RS;Rio Grande do Sul;Homens;2004;Demais causas externas;414;8.03;9.08
RS;Rio Grande do Sul;Homens;2005;Lesão de trânsito;1659;31.99;33.52
RS;Rio Grande do Sul;Homens;2005;Agressão;1812;34.94;34.45
RS;Rio Grande do Sul;Homens;2005;Causas acidentais;916;17.66;19.26
RS;Rio Grande do Sul;Homens;2005;Lesão autoprovocada;905;18.89;20.7
RS;Rio Grande do Sul;Homens;2005;Demais causas externas;407;7.85;8.96
RS;Rio Grande do Sul;Homens;2006;Lesão de trânsito;1588;30.46;31.58
RS;Rio Grande do Sul;Homens;2006;Agressão;1809;34.7;34.03
RS;Rio Grande do Sul;Homens;2006;Causas acidentais;904;17.34;18.73
RS;Rio Grande do Sul;Homens;2006;Lesão autoprovocada;945;19.58;21.28
RS;Rio Grande do Sul;Homens;2006;Demais causas externas;473;9.07;10.17
RS;Rio Grande do Sul;Homens;2007;Lesão de trânsito;1576;30.09;31.1
RS;Rio Grande do Sul;Homens;2007;Agressão;1985;37.9;36.68
RS;Rio Grande do Sul;Homens;2007;Causas acidentais;972;18.56;20.26
RS;Rio Grande do Sul;Homens;2007;Lesão autoprovocada;880;18.1;19.83
RS;Rio Grande do Sul;Homens;2007;Demais causas externas;464;8.86;9.67
RS;Rio Grande do Sul;Homens;2008;Lesão de trânsito;1629;30.98;31.96
RS;Rio Grande do Sul;Homens;2008;Agressão;2153;40.94;39.38
RS;Rio Grande do Sul;Homens;2008;Causas acidentais;903;17.17;18.7
RS;Rio Grande do Sul;Homens;2008;Lesão autoprovocada;933;19.07;20.56
RS;Rio Grande do Sul;Homens;2008;Demais causas externas;384;7.3;7.94
RS;Rio Grande do Sul;Homens;2009;Lesão de trânsito;1638;31.03;31.62
RS;Rio Grande do Sul;Homens;2009;Agressão;2007;38.02;36.88
RS;Rio Grande do Sul;Homens;2009;Causas acidentais;924;17.5;18.99
RS;Rio Grande do Sul;Homens;2009;Lesão autoprovocada;925;18.79;20.18
RS;Rio Grande do Sul;Homens;2009;Demais causas externas;438;8.3;8.91
RS;Rio Grande do Sul;Homens;2010;Lesão de trânsito;1806;34.11;35.07
RS;Rio Grande do Sul;Homens;2010;Agressão;1838;34.72;33.79
RS;Rio Grande do Sul;Homens;2010;Causas acidentais;871;16.45;17.8
